blueWins,blueFirstBlood,KDA,blueDragons,blueHeralds,blueTowersDestroyed,blueGoldDiff,blueExperienceDiff
1,0,3.44,1,0,0,527,721
0,0,3.17,0,0,0,1807,932
0,1,5.75,0,1,0,2856,1262
0,0,2.67,1,0,0,-964,-2454
0,0,1.63,0,1,0,-178,524
1,0,2,1,0,0,705,192
1,0,2.4,1,0,0,908,306
1,0,9.5,1,1,0,3558,3243
0,0,0.17,0,0,0,-1299,-49
1,0,1.5,1,0,0,-1763,-1864
1,0,5.5,0,0,0,2547,2189
0,0,0.5,1,0,0,-3685,-3119
0,1,0.91,0,0,0,-3689,-4682
0,1,1,0,0,0,-764,803
1,1,7,0,0,0,3037,2694
1,1,1.86,0,0,1,3545,2162
0,0,2.43,1,0,0,-1031,-394
0,0,1.1,0,0,0,-1796,-749
1,1,3.5,0,0,0,1626,747
1,0,2,0,1,0,832,1330
1,0,3.67,1,1,0,2750,2647
0,0,1.13,0,1,0,-1524,-827
0,1,1,1,0,0,-1370,-875
0,0,1.33,0,0,0,-1506,-412
0,0,1.14,0,0,0,-1101,-718
0,0,5,0,1,0,2774,2207
0,0,1.55,0,0,0,-1806,-588
0,0,3.5,1,0,0,1265,1248
1,0,0.71,0,0,0,-4443,-4140
0,0,0.8,0,0,0,-927,967
1,1,3.6,0,0,0,1425,728
1,0,3,1,0,0,1177,1161
1,1,0.57,1,0,0,-1586,410
0,0,0.8,1,1,0,-2896,-2081
1,0,2.44,0,0,0,905,1054
0,1,1.53,0,0,0,-3887,-3392
1,1,4,1,0,0,3413,2984
0,1,1.33,1,1,0,-256,-1580
1,1,1.4,0,0,0,-1820,-1412
1,1,4.5,1,0,0,625,-534
0,0,0.5,0,0,0,-3628,-2009
0,1,2.4,0,1,0,769,480
0,0,2,1,0,0,-576,-682
0,0,0.56,0,0,0,-3900,-3550
1,0,2.38,1,0,0,-7,-231
1,1,2.86,0,0,0,1683,1433
0,0,0.5,0,0,0,-4782,-3408
1,1,2.86,1,0,0,636,-214
1,0,0.93,1,0,0,-3421,-2624
1,0,3.67,1,0,0,976,1599
0,0,1.71,0,0,0,-211,-1305
1,0,2.6,0,0,0,1221,462
1,0,15,0,0,0,2037,1291
1,1,5.67,1,0,0,817,-94
1,1,2,0,0,0,-137,-351
1,1,1.14,1,0,0,-1539,-1497
0,0,1.29,0,0,0,-1707,-1286
1,0,0.89,1,0,0,-556,-235
1,1,3.43,1,0,0,-146,-717
1,1,5.25,0,1,0,4083,2884
1,0,2.2,0,0,0,1389,1418
0,0,1.5,1,0,0,-890,-528
0,1,1,0,0,0,-2519,-1095
0,0,0.53,0,0,0,-4440,-4020
1,1,2.33,0,0,0,1140,705
0,1,1,0,0,0,-1656,-1832
1,0,5.2,0,0,0,2171,-261
1,1,6.75,0,0,0,3841,2484
1,0,0.82,0,1,1,-885,-2172
0,0,0.88,1,1,0,-2752,-2286
1,1,3.89,0,0,0,2081,466
0,1,2.67,0,0,0,453,-19
0,1,6,1,0,0,830,-1002
0,0,1.38,0,0,0,94,-445
0,0,3.33,1,1,0,-722,891
0,0,2.29,0,1,0,-1491,-799
0,0,0.64,0,0,0,-3109,-1745
0,1,1.45,0,0,0,537,-477
1,0,4.6,1,1,0,4079,5568
1,0,4.6,0,0,1,4006,2081
0,1,0.7,0,0,0,-3582,-5395
1,0,1.83,0,0,0,-355,233
1,1,2.5,0,0,1,3464,994
1,1,3.6,1,0,0,2217,2183
1,1,5.67,1,1,0,3049,1511
1,0,1.5,1,0,0,-305,-474
0,0,5,1,0,0,1325,479
1,1,2.67,0,0,0,-53,87
0,0,1.11,0,0,0,-2865,-1441
0,1,1.71,0,0,0,-93,-561
0,1,1.86,0,0,0,-420,-1185
1,1,4.33,1,0,0,5008,2355
0,1,0.83,0,0,0,-2074,-1795
1,0,3,0,1,0,-3,1013
0,1,2,0,0,0,-837,-660
1,1,2.2,1,0,0,510,-747
0,0,1.27,1,0,0,-3549,-2407
1,0,2,0,0,0,272,359
1,1,3.6,0,0,0,2187,2189
0,0,0.75,0,0,0,-4907,-2556
1,1,2,1,0,0,63,648
1,0,1.25,0,1,0,-2132,-484
0,0,1.67,0,1,0,-976,-964
0,1,1.2,0,0,0,-1342,-1966
1,1,6.5,1,0,0,2304,2532
1,0,10.5,0,0,0,4219,3379
0,1,1.86,0,0,0,-2049,-2340
0,0,0.6,0,0,0,-4179,-3823
0,0,2.5,0,0,0,-66,-1073
1,0,3.14,1,1,0,510,142
0,1,2,0,1,0,2591,1567
0,1,0.75,0,0,0,-3772,-3034
0,1,2.83,1,0,0,965,-878
0,0,0.4,0,0,0,-3468,-2158
1,1,9.67,0,0,0,6153,3916
0,0,0,0,0,0,-2216,-2730
0,0,0.91,1,0,0,-2308,-1767
1,1,1.83,0,1,0,1917,-179
0,0,1.43,0,0,0,-1676,-1759
1,1,3.6,1,0,0,2709,1259
0,0,1.38,0,0,0,-1304,-552
1,1,3.6,1,0,0,1824,1409
0,0,3.25,0,0,0,229,-45
1,0,2,0,1,0,1507,1667
0,0,0.8,1,0,0,-1787,-1135
0,0,1.57,0,0,0,815,1397
0,0,0.79,1,0,0,-4767,-5061
0,0,1.67,0,0,0,-1861,-2532
0,0,0.14,1,0,0,-7655,-4485
1,0,0.78,0,0,0,-2058,-2051
1,0,2.4,1,0,0,-575,-208
0,1,3,0,1,0,1765,701
0,1,2.6,0,1,0,540,269
1,0,3,0,0,0,862,-442
1,1,7.5,1,0,0,2761,1659
0,0,0.75,0,0,0,-1249,-853
1,0,1.6,0,0,0,-75,655
1,1,5.2,1,0,0,5805,4777
0,0,1.14,0,1,0,-810,-305
0,1,2.75,0,1,0,1034,706
1,1,0.71,0,0,0,-2595,-2856
1,0,2,0,0,0,-334,-73
1,1,4.75,1,1,1,3806,2161
0,0,0.57,0,0,0,-2711,-2547
1,1,4,0,0,0,2551,1754
0,1,5,1,0,0,66,-446
0,0,4.6,1,0,0,2242,727
0,0,0.8,0,1,0,-893,-213
0,0,0.8,0,0,0,-1208,-152
1,0,5.75,0,0,0,4003,2566
1,0,2.5,1,0,0,819,2149
1,1,6.33,0,0,0,4009,1935
0,0,1.67,1,0,0,-259,-1001
0,1,3.67,0,0,0,1728,-738
0,0,1.6,0,1,0,474,393
0,1,5.67,0,0,0,1863,328
0,0,0.29,0,0,0,-3846,-2306
0,0,0.67,0,0,0,-2373,-1592
1,0,2.57,1,0,0,218,-204
1,1,3.25,0,0,0,2208,1929
0,0,1,1,0,0,-1440,-373
0,0,1.92,1,0,0,-845,-1743
0,0,1.11,0,0,0,-2635,-2694
1,0,14,1,1,0,2817,2414
1,0,2.6,1,1,0,2812,2497
0,0,0.5,0,0,0,-3864,-2759
1,0,1.83,1,0,0,334,955
1,1,2,1,0,0,1909,2436
0,1,1.86,0,0,0,-346,-358
1,1,7,0,0,0,5802,5396
1,1,2.25,1,0,0,1085,1048
0,1,0.55,1,0,0,-2383,-1807
1,0,1.89,0,1,0,306,1895
0,1,1.71,0,0,0,-1568,-1850
1,0,1.14,1,0,0,-1419,-1156
1,1,3,0,1,0,2263,1634
1,1,7.5,0,0,0,1374,1225
1,0,8.75,1,0,0,4301,3444
1,1,3.75,0,0,0,3905,3713
1,0,0.88,0,0,0,-2919,-2318
1,1,10,1,0,0,2923,2787
0,0,1,0,0,0,-1059,-951
0,0,1.2,0,1,0,-406,-14
1,0,4.67,1,0,0,1143,1251
1,0,2.67,0,0,0,736,266
0,1,0.45,0,0,0,-4816,-3750
1,0,4,1,1,0,3977,3949
1,0,3.57,0,0,0,3026,3357
0,0,0.33,1,0,0,-4262,-2426
0,1,8,0,1,1,2476,772
0,0,0.67,0,0,0,-3545,-3206
0,0,1,0,1,0,-4324,-2979
1,0,1.83,1,0,0,-496,-837
0,0,1.6,0,0,0,-1620,-1442
1,1,1.4,0,0,0,-1334,-1607
0,1,1.75,0,0,0,-796,-217
1,1,4.5,1,0,0,1398,1804
1,1,3.33,0,0,0,3005,1938
0,1,0.63,0,0,0,-3156,-3287
1,0,1.2,1,1,0,-473,383
0,0,0.9,0,0,0,-3397,-2282
0,0,1.22,0,0,0,-1937,-1514
1,1,5,0,0,0,3765,2661
0,1,5,1,0,0,384,-690
1,1,4.6,1,0,0,2708,682
0,1,0.88,0,0,0,-2427,-1462
1,1,4.33,1,0,0,1901,684
1,0,5,1,0,0,2480,1699
0,0,0.3,0,1,0,-3581,-2467
1,1,4.8,1,1,0,2911,1378
0,0,0.75,0,1,0,-1245,-1370
0,0,2.67,1,0,0,166,-497
0,0,0.33,0,0,0,-6309,-3115
0,0,0.82,0,0,0,-2047,-2555
0,1,2.25,0,0,0,-1464,-1509
1,1,3,1,1,0,874,-302
0,1,1,1,0,0,-627,183
0,0,2.33,0,0,0,-334,-292
0,1,1.5,1,0,0,449,1210
0,0,1.33,0,0,0,-780,-73
0,0,1.33,0,1,0,-205,1064
0,0,1.67,0,0,0,-1731,-1585
0,0,2.11,1,0,0,947,-188
0,1,2.29,0,0,0,-713,-1111
1,1,1.25,1,0,0,1171,-1140
0,1,1.86,0,0,0,-459,-307
1,1,10,0,0,0,2673,1388
1,1,2.71,1,0,0,-251,-1675
0,1,5,0,0,0,534,634
0,0,0.5,1,0,0,-4005,-2248
1,1,0.75,1,1,0,-318,86
0,1,3,0,1,0,2682,2118
0,1,3,1,0,0,2092,1763
1,0,2.71,0,0,0,2300,2148
1,1,3.33,1,0,0,2642,1346
1,1,2.75,0,0,0,2833,220
0,1,2.13,0,0,0,-336,-1059
0,0,0.38,1,0,0,-5136,-3713
1,0,3.43,0,0,0,1872,3579
0,0,1.85,1,0,0,-1048,-450
1,0,1.4,1,0,0,-88,-932
1,0,1,0,0,0,-1427,-1008
1,0,1.27,0,1,0,-2440,-1603
0,1,1,0,0,0,-1614,-2256
1,0,0.86,1,0,0,-1075,73
1,1,1.75,1,1,0,-1799,-1304
1,1,7.67,1,0,0,3296,3231
1,0,1,0,0,0,-1942,57
1,1,4.5,1,0,0,2013,247
1,1,3.38,1,1,0,3574,1210
1,1,7.33,1,0,0,6000,5033
0,0,0.78,0,0,1,-3128,-2320
1,0,1.25,1,1,0,1229,1059
0,1,1.1,0,1,0,1285,1300
0,0,1.1,0,0,0,-3274,-1385
0,0,0.75,0,0,0,-1770,325
1,1,7.33,1,0,0,1892,890
0,1,2.43,0,0,0,525,902
0,1,2.17,1,0,0,-415,-498
1,0,0.5,0,0,0,-1751,-1585
1,1,4,0,1,1,4453,2458
0,1,3.5,1,0,0,1393,441
1,0,2,1,1,0,534,154
0,1,0.36,0,0,0,-3301,-2246
1,0,1.14,1,1,0,-2022,-2023
0,0,1.17,0,0,0,176,-172
0,0,0.8,0,1,0,-458,-559
0,1,5.5,0,0,0,676,-576
1,0,2.75,1,0,0,2536,3339
1,0,1.55,0,0,0,-1751,-2784
1,0,1.6,0,0,0,-1516,-1467
0,1,0.86,0,0,0,-2566,-2246
0,1,1.13,0,0,0,-2023,-2678
0,0,1.5,0,1,0,-276,179
1,1,3,1,1,0,1574,1834
1,0,5.33,0,0,0,2378,2190
0,1,0.89,0,0,0,-3223,-2518
0,0,2.4,0,0,0,808,1415
1,1,8,0,0,0,3803,2825
0,0,0.63,0,0,0,-3360,-1842
1,0,7.5,0,0,0,2397,1405
0,1,1.5,0,0,0,-883,-1828
0,1,0.5,0,0,0,-2638,-2478
1,1,10,0,0,0,5035,5420
0,1,1.25,0,0,0,-1003,-899
0,1,1.13,0,0,0,-1963,-1151
0,0,1.86,0,0,0,-1071,-1471
1,1,3,0,0,0,897,1090
1,1,4.5,1,1,0,1946,1292
0,0,1.63,0,1,0,-219,-1440
1,1,3.25,0,0,0,1588,1331
0,0,0.83,0,0,0,-1889,-723
1,0,1,1,0,0,-720,432
0,1,0.42,0,0,0,-2388,-1978
0,0,0.31,0,0,0,-5668,-4786
1,0,1.88,1,0,0,527,1493
1,1,2.25,0,1,0,1496,-730
0,0,0.86,0,0,0,-4245,-3073
0,1,5.4,1,0,0,3386,2410
0,0,0.5,0,0,0,-3145,-2166
0,0,0.2,1,0,0,-1325,-15
1,0,1.5,1,1,0,-1623,-1144
1,0,2,1,0,0,1076,759
1,0,1.6,1,0,0,-1156,-667
0,0,1.67,0,1,0,450,-9
1,1,2.2,0,1,2,4363,4467
1,1,4,1,0,0,2262,2885
0,1,1.44,0,0,0,-367,187
1,0,4.33,0,0,0,1214,2080
1,1,10,1,0,0,1728,-337
1,1,2,0,0,0,959,917
1,1,2.2,0,1,0,924,323
1,1,12.5,1,0,0,4544,3126
0,0,0.73,1,1,0,-4847,-2983
1,1,8.67,1,0,0,1849,669
1,0,1.27,0,0,0,-3891,-2689
0,1,1.56,0,0,0,-1314,-1942
1,1,4.6,0,0,0,2718,91
0,0,0.75,0,0,0,-2174,-1268
1,1,6,1,0,0,1093,720
1,0,1.9,0,0,0,-215,-438
1,1,2.83,0,1,0,635,-1157
1,0,2,0,0,0,120,1209
1,0,2.33,1,0,0,194,661
1,1,15,1,0,0,3581,1578
0,0,1.15,0,0,0,-3622,-2561
1,1,2.5,1,0,0,-303,312
0,0,2,1,0,0,-1295,-305
0,0,0.4,0,0,0,-3006,-1880
1,1,6,0,1,0,1090,371
1,0,1.67,1,0,0,324,1794
1,1,0.71,0,0,0,-2025,-2448
0,1,1.88,0,0,0,-416,-907
0,1,1.5,0,1,0,62,1154
0,1,1.14,0,0,0,-67,-1341
1,0,6,1,0,0,5163,3968
1,1,5.8,1,0,0,2728,1957
0,0,0.44,1,0,0,-3559,-1400
1,1,3.25,1,1,0,184,-131
0,1,1.14,1,0,0,-2040,-1012
1,1,15,1,0,0,2151,726
0,0,1.58,0,0,0,-2452,-1634
1,1,3.5,1,1,0,3255,2259
1,1,5,0,0,0,1128,858
1,1,2.6,0,1,1,1909,979
1,0,3.17,0,0,0,3397,1493
0,0,1.58,0,0,0,-3563,-1320
0,1,1.22,1,0,0,-361,1686
1,0,2.33,0,1,0,-513,992
1,0,5.75,0,0,0,4872,3076
0,0,1.57,0,1,0,985,2102
1,1,0.88,1,0,0,-1599,-1870
1,0,6.5,1,0,0,1719,1703
0,0,0.17,0,0,0,-2641,-2207
0,1,0.56,0,0,0,-2846,-2325
0,0,0.4,0,0,0,-3891,-2276
1,0,6,1,0,0,6202,5368
1,0,4,0,0,0,2330,2167
0,1,2.43,0,0,0,3089,1750
1,0,2.33,0,0,0,540,867
1,1,2.5,0,1,0,508,-1704
0,1,2.86,1,0,0,625,-1035
1,1,3,1,0,0,2481,1962
1,1,3.8,1,0,0,2796,2669
1,0,4,1,0,0,2089,2123
1,1,1.83,1,0,0,-608,-703
0,1,1.44,0,0,0,-1923,-1753
0,0,2,0,0,0,-951,-546
1,1,3.5,1,0,0,1428,701
0,1,3.4,1,0,0,1131,1145
0,0,1.14,0,1,0,-1972,-1010
0,1,1.44,0,0,0,-2242,-1819
1,1,5.33,1,0,0,2287,-268
0,0,3.75,0,0,0,1367,2396
1,1,4,1,1,0,2580,2954
0,0,4.43,1,0,0,786,-562
1,1,1.67,1,1,0,152,-57
1,1,4.25,0,0,0,2802,281
0,0,1.5,0,0,0,-1610,-1393
1,0,2.3,0,0,0,1543,-21
1,0,2.64,0,0,0,1915,2606
1,0,3.67,1,0,0,-595,364
0,1,1.57,0,0,0,-1190,-911
1,1,8,0,1,0,1820,806
0,0,1,1,1,0,-2630,-2244
1,0,2.13,0,0,0,-1327,-789
1,0,4.5,0,0,0,1417,1016
0,1,1.75,1,0,0,71,409
1,0,1.25,0,0,0,17,1052
0,1,2.29,1,1,0,151,840
1,1,6.33,1,0,0,4817,3220
0,0,1,0,0,0,-3400,-2763
0,1,1.38,0,0,0,-944,-556
0,0,1.25,1,0,0,-2839,18
1,1,3.13,1,0,0,818,-165
0,0,0.67,0,0,0,-6286,-4733
0,0,0.64,0,0,0,-3799,-3285
1,0,6,1,1,1,4428,3489
1,1,18,0,0,0,4388,3527
0,0,1.13,1,0,0,-3045,-1634
0,0,1.25,0,0,0,-1497,-778
0,0,2,1,0,0,-1696,-2153
1,0,2.29,0,0,0,733,-1480
1,1,2,1,0,0,-606,-1487
0,0,1.2,0,0,0,-2420,-753
0,0,0.63,0,0,0,-2037,110
1,0,1.75,0,0,0,631,1404
0,0,1.86,0,1,0,-1570,-2103
1,0,2.57,1,0,0,-471,870
1,0,1.75,0,0,0,-1211,-108
1,1,6.5,0,1,0,2740,1708
1,0,3.25,0,1,0,1947,2521
1,1,6,0,0,0,4712,3798
0,1,2.75,1,0,0,1115,1256
1,0,1.8,0,0,0,-833,-116
1,0,2.86,0,0,0,564,633
0,1,2.1,0,1,0,-589,1794
1,1,4.25,0,0,0,3020,2593
1,1,2.5,1,0,0,-1339,-2802
0,1,6.75,1,0,0,1487,577
1,1,3.33,1,1,0,579,-37
1,1,2.83,0,0,0,975,659
1,1,3.5,1,0,0,1417,1171
1,1,3.75,1,1,1,2768,1411
1,1,6.33,0,0,0,3897,2558
0,0,0.67,0,0,0,-4631,-3612
0,0,1.6,0,0,0,-46,-458
0,0,0.57,0,0,1,-258,-419
1,0,5.67,1,0,0,2845,4032
0,0,0.6,0,0,0,-3177,-3271
1,1,4.25,1,0,0,2988,398
1,1,3.67,1,0,0,2443,1566
1,1,2.2,1,1,0,-11,-176
1,0,2.17,1,0,0,286,17
0,1,1.71,1,1,0,90,-819
1,0,2,0,0,0,403,1790
1,1,20,0,0,0,3135,2622
0,0,2.63,0,0,0,372,160
1,0,2,1,0,0,-1636,-872
1,1,23,1,1,0,5586,4058
0,0,1,0,0,0,-2105,-1094
1,0,1.25,0,1,0,-1374,-653
0,0,0.88,0,0,0,-2166,-2885
1,0,2.25,0,0,0,930,275
0,0,1.25,1,0,0,-950,-650
1,1,1.5,1,0,0,-2421,-1685
1,0,2,0,0,0,-891,-633
1,0,1.2,0,0,0,-211,232
1,1,1.8,0,0,0,-405,-1523
1,1,2.57,0,0,0,2361,2502
1,0,2.11,1,0,0,-134,-565
1,1,5.75,1,0,0,2062,1120
1,1,4.33,0,1,0,2089,1771
0,0,0.81,0,0,0,-5377,-3249
1,1,1.71,1,0,0,-282,-79
0,0,2,0,0,0,-443,-447
0,0,0.63,0,0,0,-3122,-1229
0,0,0.6,1,0,0,-2425,-1778
1,0,1,0,0,0,-813,840
1,0,2.13,0,0,0,1378,1678
0,0,1.86,0,0,0,1542,1059
0,0,1.55,0,0,0,-1553,-424
1,1,10,1,0,0,4250,2686
1,1,5,0,1,0,2772,2140
1,1,2.33,1,0,0,-484,-1416
1,1,4.75,1,1,0,1110,-544
0,0,2.75,0,1,1,1467,11
1,1,3.2,1,1,0,1095,94
1,1,12,1,0,1,5169,2153
0,0,1.33,0,0,0,-1547,-916
1,1,11.33,0,0,0,5680,2175
0,1,2,0,0,0,823,-164
1,1,14,1,1,0,1799,442
0,0,0.67,0,1,0,-757,569
1,1,2.83,1,0,0,91,-339
0,0,1.27,0,1,1,-1538,-370
1,0,2.38,1,1,0,2228,1524
0,1,19,0,0,0,4869,3243
1,0,5.5,0,0,0,640,-120
1,0,1.44,0,0,0,-1871,-1775
0,0,1.29,0,0,0,-2189,-1838
0,1,1.67,0,0,0,474,-775
0,0,1.25,0,0,0,-1072,-646
0,1,1.23,0,0,0,-2817,-1700
1,0,3.67,1,0,0,-243,-465
0,0,3.33,1,0,0,-1517,-1565
0,0,0,0,0,0,-3205,-3400
0,0,1.2,0,0,0,-2820,-2751
1,1,6.67,1,0,0,1722,1010
1,1,5.5,1,1,0,1978,1595
1,1,2.11,0,0,0,171,618
0,0,4.67,1,0,0,659,405
1,0,1.18,1,0,0,-2974,-2746
0,0,0.67,0,0,0,-3078,-3306
0,1,2.17,0,0,0,1153,282
1,1,3.8,1,1,0,3878,2862
1,1,10,1,1,0,2717,1557
1,1,2.43,0,0,0,3038,3164
0,0,1.43,0,0,0,-1903,-584
1,1,3.4,0,0,0,3518,2843
1,0,2.71,0,0,0,216,259
0,1,1,0,0,0,-509,-196
0,0,3.83,0,0,0,978,372
1,1,6.67,1,0,0,1884,1871
1,1,5.75,0,1,0,2224,2062
0,0,1.55,0,1,0,-1079,252
0,0,1.57,0,0,0,-1768,-1778
0,0,1.67,1,0,0,-886,-476
1,1,8.33,0,0,0,3017,1450
0,1,2.13,1,0,0,-431,120
0,0,1,0,0,0,-2618,-2637
0,1,2,1,1,0,-740,-665
1,1,5,0,1,0,3982,3457
0,0,1.1,0,0,0,-2028,-1740
1,0,4.5,0,1,2,5649,3668
0,0,0,0,0,0,-4949,-4010
1,1,4.33,1,1,1,4867,4211
0,0,0.67,1,1,0,-978,-226
0,0,4.25,0,0,0,2425,1426
1,1,3.83,1,0,0,3815,2726
1,1,2.2,1,0,0,976,2257
1,1,2.75,1,0,0,862,-426
0,1,3.33,0,0,0,-403,-26
0,0,0.83,0,0,0,-2204,-1476
1,1,2.22,1,0,0,-219,-1275
1,1,6.4,0,1,0,5330,4040
1,1,5.25,1,1,0,3414,1608
0,1,2.25,0,0,0,792,-622
1,1,1.29,0,0,0,-146,-399
0,1,2,0,1,0,-1578,-1724
1,1,1.67,0,0,0,-769,-701
1,0,4,0,0,0,1860,1798
1,1,6,0,0,0,3525,2979
1,1,3.75,1,0,0,679,-305
0,0,0.4,0,0,0,-2555,-1896
0,1,2.67,0,0,0,765,425
0,1,1.5,0,0,0,-1221,-2380
1,0,3.33,0,0,0,4492,3211
0,0,1.75,0,0,0,186,-273
1,1,2.14,1,0,0,1227,996
1,0,0.86,0,1,0,-70,-456
0,0,1.5,0,0,0,-1605,-1335
0,0,0.89,0,0,0,-3465,-3351
0,1,3.1,0,1,0,-431,-1022
1,0,2.43,0,0,0,1083,451
0,0,1.67,0,0,0,-1259,-360
0,0,0.67,0,0,0,-6801,-4611
1,1,1.5,1,0,0,1158,191
1,1,4.33,1,1,0,2053,1371
1,0,3.29,0,0,0,604,1983
1,0,1.14,0,1,1,75,616
0,1,1,0,0,0,-542,-927
1,1,3.14,0,0,0,1099,-98
1,1,3,1,0,0,2183,263
1,1,2.25,1,1,0,791,224
0,0,0.63,0,0,0,-3614,-3434
0,1,10,1,1,0,1220,589
0,1,1.4,0,0,0,-1827,-2059
0,0,3.2,0,0,0,583,751
0,1,4,0,1,0,-334,-1054
0,0,1.36,0,0,0,-2494,-1188
1,1,1.85,0,0,1,2658,2407
1,0,2.11,1,0,0,-116,-303
1,1,2.5,1,1,0,-197,-2391
0,0,3,0,0,0,760,521
1,0,2.75,0,0,0,1224,1259
0,0,0.36,0,0,0,-6076,-3107
0,0,1.55,1,0,0,-2339,-917
1,1,7,0,0,0,2590,1325
0,1,3,1,0,0,2175,1409
0,1,2.29,1,0,0,1188,-284
0,0,2.57,0,0,0,1651,3902
0,0,3,0,0,0,-187,2135
0,0,0.44,0,0,0,-4868,-4160
0,0,0,0,0,0,-4149,-3222
0,0,0.67,0,0,0,-2602,-1426
1,1,1.5,1,0,0,-1018,1114
1,0,3.83,0,0,0,2718,1185
1,1,6.6,1,0,0,4899,2415
1,0,2,0,0,0,-1344,-2597
1,1,7.67,1,0,0,3781,1725
1,1,3.33,1,0,0,3328,3696
1,1,4.33,1,0,0,2114,75
0,1,1.29,1,0,0,-464,-47
1,0,3,1,1,0,-17,588
1,0,2.43,0,0,0,1300,3056
1,1,10,1,1,0,3884,2315
0,0,2.33,1,0,0,475,1006
1,1,3.5,1,1,0,2689,2827
0,0,0.83,0,1,0,-1367,-197
0,1,0.88,1,0,0,-2999,-1476
0,0,2.42,0,1,1,-967,-965
0,1,3.75,1,0,0,1969,1497
0,0,0.64,0,0,0,-4199,-3186
1,1,1.17,0,0,0,-105,-896
0,1,4,0,1,1,3652,1542
0,0,2,0,0,0,-83,-64
0,1,3.4,0,0,0,2526,1379
0,0,0.67,1,0,0,-1864,-1945
1,1,2,0,1,0,787,481
0,1,2.14,0,1,0,-1222,-2334
0,1,2.18,0,0,0,-204,1350
0,1,2,1,0,0,1759,1710
0,0,0.75,1,0,0,-1650,-1358
1,1,2.2,1,0,0,290,617
0,1,1,1,0,0,-3418,-2689
0,1,3.75,0,0,0,1922,1870
0,0,1.13,0,0,0,-3584,-2457
0,1,1.2,0,0,0,-2827,-2675
0,0,2.71,0,0,0,817,2322
1,0,2.67,0,0,0,75,536
0,0,1.36,0,0,0,-1502,-321
1,0,0.57,0,0,0,-1706,-1004
1,0,1.44,0,1,0,274,1018
1,0,3,0,0,0,1058,1735
0,0,2.14,0,0,0,-1776,-3265
0,1,1.44,0,0,0,-2698,-3640
0,1,1.86,0,0,0,-95,-1113
